ibge7,mun,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3110103,Caiana,Caiana,Zona da Mata,0,0,185,0,4782,210,48,0,0,0,251,0,0,0,0,0,3313,22,0
3110202,Cajuri,Cajuri,Zona da Mata,0,0,270,0,900,2000,420,60,0,0,3300,0,0,30,2400,0,3765,42,0
3110301,Caldas,Caldas,Sul/Sudoeste de Minas,0,0,130,12600,1618,0,900,0,0,0,9221,1118,0,0,41,330,28132,62,1750
3110400,Camacho,Camacho,Oeste de Minas,0,0,24,0,1985,40,40,0,0,0,672,0,0,0,0,0,4687,64,10355
3110509,Camanducaia,Camanducaia,Sul/Sudoeste de Minas,0,0,34,17932,0,60,9,0,0,0,880,0,0,0,100,0,2750,33,1898
3110608,Cambuí,Cambuí,Sul/Sudoeste de Minas,0,0,74,311,8,813,20,0,0,0,1296,0,0,0,150,0,7132,71,1490
3110707,Cambuquira,Cambuquira,Sul/Sudoeste de Minas,0,0,28,0,4410,320,41,1430,0,0,15647,3722,0,6580,76,2066,3300,995,3000
3110806,Campanário,Campanário,Vale do Rio Doce,0,0,6,0,0,2900,7,0,0,0,96,0,0,0,0,0,3569,22,180
3110905,Campanha,Campanha,Sul/Sudoeste de Minas,0,0,12,100,7780,750,47,10940,10,0,11633,6751,0,36400,0,954,4100,410,3000
3111002,Campestre,Campestre,Sul/Sudoeste de Minas,0,0,1240,1820,21060,850,312,831,0,0,11604,620,0,0,665,0,10440,335,35800
3111101,Campina Verde,Campina Verde,Triângulo Mineiro/Alto Paranaíba,0,0,34,0,0,684000,0,23080,270,0,10996,18523,2128,150,0,0,52560,253,2400
3111150,Campo Azul,Campo Azul,Norte de Minas,0,0,0,0,0,396,25,0,0,0,141,0,0,0,0,0,370,60,780
3111200,Campo Belo,Campo Belo,Oeste de Minas,0,0,100,0,4620,12000,491,60,0,0,15000,0,0,60,1320,0,11837,2000,2440
3111309,Campo do Meio,Campo do Meio,Sul/Sudoeste de Minas,0,0,178,0,9590,0,1110,0,0,0,12270,3800,0,0,0,493,3000,21,670
3111408,Campo Florido,Campo Florido,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,2682000,2450,3600,0,0,50800,48000,11375,0,0,0,13800,36,0
3111507,Campos Altos,Campos Altos,Triângulo Mineiro/Alto Paranaíba,0,0,0,25800,14540,225,540,0,0,0,58350,12210,0,0,0,3890,18380,25,1700
3111606,Campos Gerais,Campos Gerais,Sul/Sudoeste de Minas,0,0,49,2400,28085,1200,3136,6,0,0,29880,5676,0,300,1700,54,12500,180,19500
3111705,Canaã,Canaã,Zona da Mata,0,0,120,0,3150,3200,372,0,0,0,3320,0,0,7,180,0,3594,61,1850
3111804,Canápolis,Canápolis,Triângulo Mineiro/Alto Paranaíba,0,0,1622,0,0,560000,330,1152,0,0,16050,68000,10815,0,0,0,7724,123,0
3111903,Cana Verde,Cana Verde,Oeste de Minas,0,0,50,0,630,200,38,0,0,0,1624,0,0,232,0,0,3163,9,1000
3112000,Candeias,Candeias,Oeste de Minas,0,0,140,0,8004,2250,2712,150,0,0,28080,0,0,0,0,0,10682,101,0
3112059,Cantagalo,Cantagalo,Vale do Rio Doce,0,0,285,0,0,2520,30,0,0,0,190,0,0,0,0,0,6105,14,2000
3112109,Caparaó,Caparaó,Zona da Mata,0,0,0,0,6680,50,16,0,0,0,264,0,0,0,0,0,1040,18,0
3112208,Capela Nova,Capela Nova,Campo das Vertentes,0,0,0,0,349,2880,450,0,0,0,2400,0,0,0,0,0,3584,23,0
3112307,Capelinha,Capelinha,Jequitinhonha,0,0,1863,0,5100,9500,282,306,9,30,2640,0,0,27,2231,0,6462,157,15140
3112406,Capetinga,Capetinga,Sul/Sudoeste de Minas,0,0,16,0,7610,8400,457,0,0,0,9884,1408,0,0,0,0,6514,39,600
3112505,Capim Branco,Capim Branco,Metropolitana de Belo Horizonte,0,0,0,0,0,0,15,0,0,0,240,0,0,0,400,0,743,10,0
3112604,Capinópolis,Capinópolis,Triângulo Mineiro/Alto Paranaíba,0,0,70,0,0,132000,66,0,0,0,86150,116634,40740,0,0,0,6596,86,16800
3112653,Capitão Andrade,Capitão Andrade,Vale do Rio Doce,0,0,0,0,0,1260,2,0,0,0,30,0,0,0,0,0,4835,18,0
3112703,Capitão Enéas,Capitão Enéas,Norte de Minas,0,0,11640,0,6,6000,187,45,100,70,410,0,40,0,0,0,3042,579,2100
3112802,Capitólio,Capitólio,Sul/Sudoeste de Minas,0,0,48,0,2961,1050,288,51,0,0,4389,533,0,400,0,0,7894,105,900
3112901,Caputira,Caputira,Zona da Mata,0,0,22,0,3000,1450,54,0,0,0,288,0,0,0,0,0,2202,26,0
3113008,Caraí,Caraí,Jequitinhonha,0,0,230,0,358,2700,133,43,0,0,110,0,0,7,45,0,8159,103,4800
3113107,Caranaíba,Caranaíba,Campo das Vertentes,0,0,22,0,9,1540,49,12,0,0,570,0,0,0,0,0,5080,38,0
3113206,Carandaí,Carandaí,Campo das Vertentes,0,0,32,475,0,1210,4826,0,0,0,36030,1245,0,22,7650,2257,11081,27,20650
3113305,Carangola,Carangola,Zona da Mata,0,0,3580,0,5060,860,33,0,0,0,395,0,0,0,0,0,7047,39,3530
3113404,Caratinga,Caratinga,Vale do Rio Doce,0,0,5051,0,13460,15000,189,120,109,117,5643,0,0,69,1800,0,22405,164,10110
3113503,Carbonita,Carbonita,Jequitinhonha,0,0,26,0,0,4180,45,9,0,0,300,0,0,0,555,0,1072,90,26400
3113602,Careaçu,Careaçu,Sul/Sudoeste de Minas,0,0,24,1240,1972,495,216,0,0,0,2390,60,0,0,0,0,7230,19,0
