ibge7,mun,tx_mort_acid_15_29,tx_mort_hom_15_29,tx_mort_mama,tx_mort_inf,tx_analf_25m,prop_fund_25m,perc_med_25m,tx_med_adeq,tx_med_lab,tx_crimes_pat,tx_crimes_pes,tx_hom,existe_uni_infra,pop_total,pop_masc,pop_fem,raz_dep,tx_urb,tx_fec,esp_vida,rdpc,renocup
3137502,Lagoa Formosa,101.24,0.0,0.0,24.63,13.4,29.0,17.16,52.5,100.0,64.1,46.6,11.6,Não,17136,8652,8509,44.37,75.56,1.87,75.0,693.25,1093.43
3137536,Lagoa Grande,0.0,0.0,0.0,0.0,14.3,31.3,21.22,56.5,100.0,69.5,46.3,0.0,Não,8631,4549,4082,46.53,74.24,2.61,74.0,543.58,941.31
3137601,Lagoa Santa,7.48,23.32,14.93,4.7,5.7,58.8,42.52,45.8,100.0,241.8,41.8,9.5,Não,52526,25735,26785,42.98,93.2,1.79,76.0,1089.96,1711.55
3137700,Lajinha,95.09,19.98,0.0,13.2,21.5,30.0,19.28,38.4,96.8,10.2,45.9,15.3,Não,19616,9725,9699,50.36,62.47,2.28,74.0,482.87,791.62
3137809,Lambari,87.07,0.0,0.0,8.3,9.0,39.9,26.49,47.0,100.0,51.1,15.3,10.2,Não,19569,9612,9866,47.41,71.78,1.89,77.0,597.16,871.88
3137908,Lamim,129.87,0.0,58.58,0.0,15.9,25.6,17.5,66.0,100.0,0.0,28.9,0.0,Não,3456,1745,1707,53.93,43.77,1.59,75.0,386.1,524.91
3138005,Laranjal,0.0,0.0,0.0,0.0,12.7,39.9,27.27,33.0,100.0,15.4,0.0,0.0,Não,6465,3254,3211,41.34,73.29,1.49,76.0,601.49,833.46
3138104,Lassance,0.0,58.69,31.68,0.0,18.6,27.1,14.48,45.0,100.0,30.8,61.6,15.4,Não,6490,3327,3157,55.29,59.87,2.86,73.0,364.3,606.79
3138203,Lavras,32.75,4.13,8.42,7.31,5.1,57.3,43.05,55.8,98.3,73.7,22.7,4.3,Não,92171,44718,47476,40.45,95.29,1.62,78.0,889.65,1348.48
3138302,Leandro ferreira,121.65,0.0,0.0,0.0,14.7,32.7,17.85,51.7,100.0,31.2,31.2,31.2,Não,3205,1640,1565,47.77,67.15,2.19,77.0,649.92,938.22
3138351,Leme do Prado,0.0,0.0,41.51,0.0,24.0,33.6,22.42,54.4,100.0,0.0,0.0,0.0,Não,4814,2395,2409,50.95,36.66,2.12,72.0,338.71,580.22
3138401,Leopoldina,24.46,0.0,7.52,13.4,8.5,45.7,28.53,50.4,100.0,64.5,5.8,1.9,Não,51136,24510,26538,44.89,89.39,1.82,77.0,609.5,979.07
3138500,Liberdade,0.0,0.0,0.0,48.78,17.8,27.6,16.28,54.9,100.0,0.0,18.7,0.0,Não,5347,2701,2645,47.43,72.37,1.66,75.0,546.79,964.94
3138609,Lima Duarte,0.0,0.0,12.49,13.33,13.2,34.8,23.97,50.3,29.9,12.3,6.1,6.1,Não,16166,8141,8008,45.65,76.56,1.89,77.0,645.22,766.97
3138625,Limeira do Oeste,52.99,56.53,29.78,36.36,16.2,38.9,25.69,56.3,100.0,43.5,58.0,14.5,Não,6890,3532,3358,41.78,72.82,2.34,75.0,595.92,1078.42
3138658,Lontra,42.25,0.0,0.0,20.2,29.1,30.3,21.41,42.9,100.0,0.0,0.0,0.0,Não,8401,4370,4027,54.4,67.05,2.16,73.0,312.77,457.73
3138674,Luisburgo,0.0,53.88,0.0,12.5,19.4,18.4,11.08,46.2,100.0,0.0,48.1,32.0,Não,6236,3224,3010,51.62,29.45,2.14,74.0,355.95,532.01
3138682,Luislândia,0.0,0.0,0.0,10.2,26.0,19.9,11.35,51.6,100.0,0.0,0.0,0.0,Não,6405,3293,3107,59.19,46.7,2.48,73.0,273.73,416.0
3138708,Luminárias,0.0,0.0,0.0,0.0,11.4,30.2,19.93,45.4,100.0,0.0,18.4,0.0,Não,5425,2789,2601,47.67,76.84,2.1,74.0,474.29,756.06
3138807,Luz,23.18,0.0,11.4,17.78,10.0,40.1,27.33,44.2,90.9,40.0,28.5,0.0,Não,17492,8716,8770,42.42,89.84,1.93,75.0,720.88,1142.08
3138906,Maxacalis,0.0,0.0,0.0,21.28,29.5,29.0,20.22,49.0,100.0,28.6,43.0,0.0,Não,6974,3609,3367,58.9,82.41,2.56,72.0,350.63,600.45
3139003,Machado,29.54,37.86,15.51,18.48,10.1,38.9,25.19,63.4,97.3,69.7,28.4,10.3,Não,38684,19342,19346,45.24,82.89,2.0,76.0,701.58,1149.12
3139102,Madre de Deus de Minas,0.0,0.0,0.0,20.83,8.1,41.2,26.42,52.8,100.0,20.3,0.0,0.0,Não,4898,2323,2340,44.69,76.1,1.64,76.0,508.21,849.21
3139201,Malacacheta,20.66,0.0,0.0,18.8,32.7,26.5,16.45,40.0,100.0,63.9,58.5,26.6,Não,18787,9159,9617,57.83,62.94,2.25,71.0,353.28,588.05
3139250,Mamonas,66.93,0.0,0.0,15.87,35.4,16.9,9.8,61.1,100.0,0.0,15.8,15.8,Não,6321,3183,3138,47.69,44.49,1.65,72.0,269.87,316.3
3139300,Manga,19.0,47.58,0.0,21.34,30.7,28.7,18.07,37.7,100.0,50.4,60.5,40.3,Não,19846,9794,10019,64.67,69.89,2.64,73.0,387.71,739.26
3139409,Manhuaçu,61.0,23.56,2.48,15.99,10.8,38.2,25.15,40.6,98.8,121.9,62.8,12.5,Não,79635,39190,40384,47.71,81.48,2.22,75.0,592.99,956.13
3139508,Manhumirim,0.0,0.0,9.2,13.07,15.7,36.6,24.12,48.5,100.0,9.3,42.0,23.3,Não,21366,10518,10864,49.5,79.71,2.0,76.0,547.24,892.87
3139607,Mantena,15.22,125.09,14.26,15.15,19.0,34.8,21.59,53.7,100.0,70.0,70.0,44.2,Não,27115,13087,14024,48.4,78.41,2.08,73.0,505.08,820.4
3139706,Maravilhas,0.0,0.0,28.31,11.24,9.8,32.4,22.76,31.4,100.0,55.8,27.9,27.9,Não,7156,3445,3362,44.17,68.35,1.89,76.0,442.51,724.7
3139805,Mar de Espanha,34.19,0.0,33.13,8.26,9.8,35.3,22.12,34.1,100.0,8.5,34.0,0.0,Não,11758,5637,5960,45.59,91.5,1.59,75.0,598.93,817.84
3139904,Maria da Fé,55.39,0.0,0.0,16.85,9.8,33.3,20.8,69.6,91.2,7.0,7.0,7.0,Não,14216,7202,7014,44.6,58.97,1.86,76.0,445.11,742.67
3140001,Mariana,12.66,31.9,10.86,10.01,8.3,54.6,38.83,33.0,95.8,36.8,31.3,20.2,Não,54179,26313,27354,41.68,88.02,1.65,77.0,641.84,1098.64
3140100,Marilac,0.0,88.65,0.0,33.33,25.5,25.9,14.83,37.1,100.0,0.0,71.1,23.7,Não,4219,2059,2160,60.62,81.13,2.21,72.0,354.33,710.11
3140159,Mário Campos,55.57,58.31,15.26,21.16,10.5,36.8,22.68,45.3,100.0,37.9,53.0,30.3,Não,13214,6641,6551,45.72,94.44,2.12,75.0,551.93,983.85
3140209,Maripá de Minas,0.0,0.0,0.0,0.0,12.5,27.8,16.2,42.1,100.0,0.0,0.0,0.0,Não,2788,1389,1399,46.82,81.28,1.86,76.0,510.92,797.56
3140308,Marliéria,0.0,0.0,0.0,0.0,13.8,31.3,19.27,61.8,100.0,24.9,0.0,0.0,Não,4021,1900,1896,52.16,70.89,2.38,75.0,401.74,625.88
3140407,Marmelópolis,0.0,0.0,0.0,33.33,12.6,27.7,11.74,66.0,100.0,0.0,33.6,0.0,Não,2968,1491,1477,44.19,52.46,1.71,73.0,367.73,652.47
3140506,Martinho Campos,65.04,0.0,32.06,8.4,10.9,30.3,20.58,36.3,100.0,47.5,31.7,0.0,Não,12589,6361,6230,46.73,87.3,2.32,76.0,579.07,941.91
3140530,Martins Soares,153.69,0.0,0.0,0.0,19.9,25.6,14.32,40.2,100.0,55.7,27.8,13.9,Não,7173,3656,3517,49.16,40.81,2.19,74.0,376.88,568.74
3140555,Mata Verde,93.81,0.0,0.0,0.0,39.4,22.5,13.87,37.1,100.0,12.7,25.4,0.0,Não,7880,4141,3733,55.94,81.13,2.4,70.0,298.19,538.07
3140605,Materlândia,0.0,75.64,43.29,19.23,29.3,21.7,15.93,31.8,0.0,0.0,130.5,87.0,Não,4595,2285,2310,60.12,43.76,2.12,71.0,255.52,442.84
3140704,Mateus Leme,13.74,27.35,0.0,10.58,9.8,43.5,27.02,38.6,85.8,186.6,57.4,21.5,Não,27856,13813,14043,46.5,88.59,1.97,75.0,579.23,995.39
3140803,Matias Barbosa,30.52,0.0,14.83,38.17,8.0,43.2,28.14,38.3,100.0,14.8,37.2,7.4,Não,13435,6683,6732,43.78,96.35,1.93,77.0,633.76,1014.24
3140852,Matias Cardoso,33.75,0.0,0.0,6.58,31.1,23.6,14.14,26.8,100.0,0.0,30.0,10.0,Não,9977,5096,4883,61.47,51.47,3.13,73.0,303.0,593.22
