ibge7,mun,abacate,abacaxi,alho,amendoim,arroz,aveia,banana,batata_doce,batata_inglesa,cafe_total,cafe_arab,cana,feijao,girassol,laranja,maracuja,milho,soja,sorgo,tomate,trigo,uva
4302584,Bozano,0,0,0,84,0,1205,0,31,0,0,0,25,80,0,920,0,1809,40585,0,88,1875,600
4302600,Braga,0,0,14,13,0,75,0,26,0,0,0,30,33,0,96,0,3089,20845,0,0,1377,39
4302659,Brochier,17,0,0,9,3,0,16,189,15,0,0,825,169,0,3074,0,281,0,0,40,0,60
4302709,Butiá,0,0,0,0,4098,0,0,150,0,0,0,0,20,0,1102,0,354,23538,0,0,0,180
4302808,Caçapava do Sul,0,0,0,0,19725,0,0,0,0,0,0,8,270,0,1226,0,1478,49242,0,0,0,610
4302907,Cacequi,0,0,0,0,76114,0,0,1062,0,0,0,144,0,0,396,0,2171,47770,0,247,165,897
4303004,Cachoeira do Sul,255,0,42,16,148621,810,22,836,80,0,0,124,136,0,504,0,20772,448974,0,152,2880,255
4303103,Cachoeirinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4303202,Cacique Doble,0,0,0,53,0,75,0,173,18,0,0,144,58,0,150,0,3657,33083,0,300,367,1856
4303301,Caibaté,0,0,12,72,176,576,26,78,30,0,0,63,123,210,128,0,7524,43598,0,65,2000,170
4303400,Caiçara,53,13,84,36,29,41,117,416,20,0,0,700,1096,0,90,0,8715,6583,0,54,241,102
4303509,Camaquã,15,0,0,16,225999,0,30,3322,81,0,0,0,2006,0,502,0,10448,75653,0,121,0,231
4303558,Camargo,0,0,0,18,0,50,0,132,0,0,0,12,50,0,0,0,866,24196,0,100,398,510
4303608,Cambará do Sul,0,0,0,0,0,0,0,0,4100,0,0,0,140,0,0,0,720,720,0,0,0,0
4303673,Campestre da Serra,0,0,9600,0,0,2101,0,0,0,0,0,0,540,0,52,0,10608,21489,0,750,2100,25823
4303707,Campina das Missões,180,19,105,144,3,0,234,232,588,0,0,488,222,0,231,0,2922,17587,0,100,372,94
4303806,Campinas do Sul,0,0,0,24,0,184,0,99,12,0,0,16,120,0,14,0,4894,64548,0,90,2940,225
4303905,Campo Bom,0,0,0,0,0,0,25,58,0,0,0,210,56,0,255,0,60,0,0,104,0,0
4304002,Campo Novo,14,0,28,13,0,500,0,72,11,0,0,24,144,0,60,0,9547,37850,0,45,3468,94
