ibge7,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
1718758,Rio Sono,Oriental do Tocantins,0,0,10,0,0,0,0,0,0,0,180,2700,0,0,0,0,3997,47,0
1718808,Sampaio,Ocidental do Tocantins,0,0,80,0,0,0,28,0,0,0,36,0,0,0,0,0,1402,11,30
1718840,Sandolândia,Ocidental do Tocantins,0,0,39,0,0,889,0,0,0,0,525,1240,0,0,0,0,5441,30,0
1718865,Santa Fé do Araguaia,Ocidental do Tocantins,0,0,0,0,0,0,0,0,0,0,29778,22140,0,0,0,0,3512,26,0
1718881,Santa Maria do Tocantins,Oriental do Tocantins,0,0,0,0,0,0,0,0,0,0,805,9430,165,0,0,0,2173,20,950
1718899,Santa Rita do Tocantins,Ocidental do Tocantins,0,0,0,0,0,0,0,0,0,0,3450,29000,0,0,0,0,3053,39,0
1718907,Santa Rosa do Tocantins,Oriental do Tocantins,0,0,12,0,0,0,172,0,0,0,21725,103680,900,0,0,0,780,24,0
1719004,Santa Tereza do Tocantins,Oriental do Tocantins,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,616,25,720
1720002,Santa Terezinha do Tocantins,Ocidental do Tocantins,0,0,33,0,0,0,8,0,0,0,150,0,0,0,0,0,1311,5,200
1720101,São Bento do Tocantins,Ocidental do Tocantins,0,0,123,0,0,0,21,0,0,0,1277,1800,0,0,0,0,2035,23,200
1720150,São Félix do Tocantins,Oriental do Tocantins,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,160,6,200
1720200,São Miguel do Tocantins,Ocidental do Tocantins,0,0,40,0,0,0,17,0,0,0,36,0,0,0,0,0,869,14,150
1720259,São Salvador do Tocantins,Ocidental do Tocantins,0,0,60,0,0,0,14,0,0,0,241,0,0,0,0,0,967,20,0
1720309,São Sebastião do Tocantins,Ocidental do Tocantins,0,0,24,0,0,0,10,0,0,0,54,0,0,0,0,0,3716,11,80
1720499,São Valério,Oriental do Tocantins,0,0,182,0,0,1125,62,0,0,0,2600,45000,350,0,0,0,1508,42,0
1720655,Silvanópolis,Oriental do Tocantins,0,0,156,0,0,0,0,0,0,0,23370,59040,510,0,0,0,1322,25,0
1720804,Sítio Novo do Tocantins,Ocidental do Tocantins,0,0,8,0,0,0,15,0,0,0,45,0,0,0,0,0,3575,43,200
1720853,Sucupira,Ocidental do Tocantins,0,3000,63,0,0,0,0,0,0,0,5550,36630,510,0,0,0,1151,17,0
1720903,Taguatinga,Oriental do Tocantins,0,0,145,0,0,6000,0,0,0,0,51000,0,0,0,0,0,5350,97,0
1720937,Taipas do Tocantins,Oriental do Tocantins,0,0,22,0,0,640,0,0,0,0,104,0,0,0,0,0,865,8,0
1720978,Talismã,Ocidental do Tocantins,0,0,45,0,0,0,0,0,0,0,2800,44000,832,0,0,0,2433,32,60
1721000,Palmas,Oriental do Tocantins,0,0,2,0,0,1852,23,0,0,0,48266,31703,472,4,0,0,3019,400,10955
1721109,Tocantínia,Oriental do Tocantins,0,0,36,0,0,0,0,0,0,0,1440,8940,0,0,0,0,1256,16,0
1721208,Tocantinópolis,Ocidental do Tocantins,0,0,0,0,0,0,7,60,0,0,0,0,0,0,0,0,450,10,0
1721257,Tupirama,Ocidental do Tocantins,0,0,18,0,0,336000,0,0,0,0,450,13520,0,0,0,0,752,7,0
1721307,Tupiratins,Ocidental do Tocantins,0,0,0,0,0,0,5,0,0,0,2526,2520,0,0,0,0,2383,58,0
1722081,Wanderlândia,Ocidental do Tocantins,0,0,28,0,0,0,44,0,0,0,11016,1450,0,0,0,0,914,53,400
1722107,Xambioá,Ocidental do Tocantins,0,0,750,0,0,45,16,0,0,0,100,0,0,0,0,0,1645,52,0
2100055,Açailândia,Oeste Maranhense,0,0,0,0,0,0,76,0,0,0,30840,75600,0,0,120,0,39147,110,3857
2100105,Afonso Cunha,Leste Maranhense,0,0,35,0,0,442,18,3,0,0,145,16800,0,0,0,0,20,4,0
2100154,Água Doce do Maranhão,Leste Maranhense,0,0,69,0,0,159,189,0,0,148,496,0,0,0,0,0,97,43,0
2100204,Alcântara,Norte Maranhense,0,0,492,0,0,0,68,44,0,112,102,0,0,0,0,0,6,21,751
2100303,Aldeias Altas,Leste Maranhense,0,0,27,0,0,287280,27,6,0,0,490,0,0,0,0,0,35,8,0
2100402,Altamira do Maranhão,Oeste Maranhense,0,0,70,0,0,0,353,0,0,0,600,0,0,0,0,0,431,12,0
2100436,Alto Alegre do Maranhão,Leste Maranhense,0,0,8,0,0,0,22,0,0,0,331,0,0,0,0,0,265,25,0
2100477,Alto Alegre do Pindaré,Oeste Maranhense,0,0,330,0,0,0,163,0,0,0,974,0,0,0,0,0,1192,9,0
2100501,Alto Parnaíba,Sul Maranhense,0,6671,0,0,0,0,1159,44,0,0,63583,126082,7355,0,0,0,408,69,0
2100550,Amapá do Maranhão,Oeste Maranhense,0,0,28,0,0,0,99,0,0,0,270,0,0,0,0,0,396,12,73439
2100600,Amarante do Maranhão,Oeste Maranhense,0,0,110,0,0,228,102,0,0,0,3483,0,0,0,0,0,14691,119,0
2100709,Anajatuba,Norte Maranhense,0,0,474,0,0,0,15,0,0,0,141,0,0,0,0,0,404,78,0
2100808,Anapurus,Leste Maranhense,0,0,57,0,0,4200,176,22,0,0,5360,23760,0,0,0,0,82,15,0
2100832,Apicum-Açu,Norte Maranhense,0,0,0,0,0,0,5,0,0,0,71,0,0,0,0,0,6,5,0
2100873,Araguanã,Oeste Maranhense,0,0,165,0,0,0,95,0,0,0,330,0,0,0,0,0,546,5,2315
2100907,Araioses,Leste Maranhense,0,0,702,0,0,0,857,29,0,0,961,0,0,0,0,0,999,130,0
2100956,Arame,Centro Maranhense,0,0,168,0,0,0,106,0,0,0,13728,0,0,0,0,0,8075,65,0
2101004,Arari,Norte Maranhense,0,0,55,0,0,0,77,0,0,0,290,0,0,0,0,0,486,33,12500
2101103,Axixá,Norte Maranhense,0,0,582,0,0,0,15,23,0,0,126,0,0,0,0,0,9,10,0
2101202,Bacabal,Centro Maranhense,0,0,0,0,0,0,986,0,0,0,1440,0,0,0,0,0,2312,75,0
2101251,Bacabeira,Norte Maranhense,0,0,122,0,0,399,21,17,0,0,141,0,0,0,0,0,53,79,14510
2101301,Bacuri,Norte Maranhense,0,0,120,0,0,0,15,0,0,0,340,0,0,0,0,0,13,7,0
2101350,Bacurituba,Norte Maranhense,0,0,189,0,0,0,13,0,11,42,29,0,0,0,0,0,92,11,2137
2101400,Balsas,Sul Maranhense,0,30724,1970,0,0,363,8053,14,0,0,447771,505289,29475,0,0,0,1036,5567,0
2101509,Barão de Grajaú,Leste Maranhense,0,0,348,0,0,506,119,26,0,0,1091,0,0,0,0,0,380,82,0
2101608,Barra do Corda,Centro Maranhense,0,0,800,0,0,874,1107,42,0,0,2841,0,0,0,0,0,3845,128,95
2101707,Barreirinhas,Norte Maranhense,0,0,274,0,0,0,158,120,0,0,910,0,0,0,0,0,175,58,0
2101731,Belágua,Leste Maranhense,0,0,95,0,0,232,220,33,0,0,185,0,0,0,0,0,28,7,0
2101772,Bela Vista do Maranhão,Norte Maranhense,0,0,123,0,0,0,78,0,0,0,109,0,0,0,0,0,1160,7,0
2101806,Benedito Leite,Sul Maranhense,0,0,17,0,0,81,115,8,0,0,682,8029,0,0,0,0,537,7,0
2101905,Bequimão,Norte Maranhense,0,0,119,0,0,0,139,0,31,51,784,0,0,0,0,0,117,60,1133
2101939,Bernardo do Mearim,Centro Maranhense,0,0,505,0,0,0,162,78,0,0,835,0,0,0,0,0,3269,36,0
2101970,Boa Vista do Gurupi,Oeste Maranhense,0,0,0,0,0,0,81,0,0,0,65,0,0,0,0,0,349,18,16955
2102002,Bom Jardim,Oeste Maranhense,0,0,448,0,0,0,293,0,0,0,16640,15780,0,0,0,0,1707,31,0
2102036,Bom Jesus das Selvas,Oeste Maranhense,0,0,0,0,0,0,40,0,0,0,23920,5400,0,0,0,0,4691,29,0
2102077,Bom Lugar,Centro Maranhense,0,0,0,0,0,0,131,0,0,0,473,0,0,0,0,0,797,21,0
2102101,Brejo,Leste Maranhense,0,0,69,0,0,3248,189,35,0,0,3062,78352,0,0,0,0,335,40,0
2102150,Brejo de Areia,Oeste Maranhense,0,0,0,0,0,0,80,0,0,0,240,0,0,0,0,0,581,11,0
2102200,Buriti,Leste Maranhense,0,0,69,0,0,2639,223,30,0,0,2898,43400,0,0,0,0,309,44,0
2102309,Buriti Bravo,Leste Maranhense,0,0,25,0,0,1260,202,9,0,0,2400,5220,0,0,0,0,241,19,2980
