imovel,estado,cidade,bairro,preco,preco_aprox,preco_dol,area_total,area,preco_dol_m2,preco_m2
loja,São Paulo,São Paulo,Moema,18000.0,18172.7,5681.4,190.0,190.0,29.9,94.7
apartamento,São Paulo,São Paulo,Vila Leopoldina,4200.0,4192.1,1310.6,0.0,151.0,8.7,27.8
apartamento,Rio de Janeiro,Rio de Janeiro,Copacabana,1900.0,1896.4,592.9,45.0,45.0,13.2,42.2
apartamento,São Paulo,São Paulo,Cerqueira César,2150.0,2146.0,670.9,44.0,44.0,15.2,48.9
loja,São Paulo,Piracicaba,Centro,6300.0,6288.2,1965.9,525.0,284.0,6.9,22.2
loja,São Paulo,São Paulo,Itaim Bibi,13000.0,12975.6,4056.7,180.0,180.0,22537.0,72.2
apartamento,São Paulo,Piracicaba,,650.0,648.8,202.8,45.0,45.0,4.5,14.4
apartamento,São Paulo,São Paulo,Jardins,2350.0,2345.6,733.3,50.0,50.0,14.7,47.0
casa,São Paulo,Piracicaba,Paulista,850.0,848.4,265.2,343.0,98.0,2.7,8.7
apartamento,São Paulo,São Paulo,Jardim América,3500.0,3493.4,1092.2,120.0,86.0,12.7,40.7
apartamento,São Paulo,São Paulo,Jardim Paulista,3300.0,3293.8,1029.8,54.0,54.0,19.1,61.1
apartamento,São Paulo,São Paulo,Paraíso,5500.0,5489.7,1716.3,0.0,86.0,20.0,64.0
apartamento,São Paulo,Taubaté,,1200.0,1218.3,380.9,0.0,63.0,6.0,19.0
apartamento,São Paulo,Votorantim,,1000.0,1009.6,315.6,67.0,67.0,4.7,14.9
apartamento,São Paulo,São Paulo,Ipiranga,1900.0,1929.0,603.1,0.0,55.0,11.0,34.5
apartamento,Rio de Janeiro,Rio de Janeiro,Copacabana,15000.0,15143.9,4734.5,220.0,220.0,21.5,68.2
apartamento,São Paulo,São Paulo,Campo Belo,2450.0,2445.4,764.5,90.0,90.0,8.5,27.2
apartamento,São Paulo,São Paulo,Vila Nova Conceição,12000.0,11977.5,3744.6,180.0,180.0,20.8,66.7
apartamento,São Paulo,Barueri,Jardim Iracema,1500.0,1497.2,468.1,0.0,57.0,8.2,26.3
apartamento,São Paulo,Campinas,Bosque,1300.0,1312.4,410.3,48.0,48.0,8.5,27.1
apartamento,São Paulo,São Paulo,Itaim Bibi,13000.0,12975.6,4056.7,162.0,304.0,13.3,42.8
apartamento,São Paulo,Cotia,Chácara Roselândia,700.0,706.7,220.9,50.0,45.0,4.9,15.6
apartamento,São Paulo,São Paulo,Butantã,1300.0,1297.5,405.7,0.0,60.0,6761.0,21.7
apartamento,São Paulo,São Paulo,Granja Julieta,4000.0,3992.5,1248.2,0.0,95.0,13.1,42.1
casa,São Paulo,Piracicaba,Vila Independência,1100.0,1097.9,343.2,82.0,67.0,5.1,16.4
apartamento,São Paulo,São Paulo,Cerqueira César,7000.0,6986.9,2184.4,160.0,205.0,10.7,34.1
apartamento,São Paulo,São Paulo,Vila Olímpia,8000.0,7985.0,2496.4,94.0,94.0,26.6,85.1
apartamento,São Paulo,São Paulo,Cerqueira César,8000.0,8076.8,2525.1,0.0,165.0,15.3,48.5
loja,São Paulo,Piracicaba,Alto,1000.0,998.1,312.0,107.0,23.0,13.6,43.5
loja,São Paulo,Campinas,Vila Georgina,20000.0,19962.5,6241.0,2023.0,1560.0,4.0,12.8
apartamento,São Paulo,São Paulo,Jardim Europa,23000.0,22956.9,7177.2,470.0,470.0,15.3,48.9
apartamento,Rio de Janeiro,Rio de Janeiro,Copacabana,15000.0,15229.5,4761.3,558.0,558.0,8.5,26.9
apartamento,São Paulo,São Paulo,Perdizes,1850.0,1846.5,577.3,80.0,80.0,7.2,23125.0
apartamento,São Paulo,Praia Grande,,1100.0,1097.9,343.2,70.0,60.0,5.7,18.3
apartamento,São Paulo,São Paulo,Itaim Bibi,7500.0,7485.9,2340.4,76.0,76.0,30.8,98.7
apartamento,São Paulo,São Paulo,Itaim Bibi,3400.0,3393.6,1061.0,0.0,105.0,10.1,32.4
apartamento,São Paulo,São Paulo,Itaim Bibi,5000.0,4990.6,1560.2,780.0,58.0,26.9,86.2
apartamento,São Paulo,Ribeirão Preto,Jardim Botânico,980.0,978.2,305.8,0.0,43.0,7.1,22.8
apartamento,São Paulo,São Paulo,Interlagos,1000.0,1009.6,315.6,58.0,58.0,5.4,17.2
casa,São Paulo,Mogi das Cruzes,Mogi Moderno,780.0,787.5,246.2,500.0,60.0,4.1,13.0
