uf,nome_uf,nome_meso,micro,nome_micro,mun,cod_mun_c,nome_mun,dist,distrito,nome_distrito
35,São Paulo,Metropolitana de São Paulo,057,Osasco,10609,3510609,carapicuíba,10,351060910,aldeia de carapicuíba
33,Rio de Janeiro,Baixadas,009,Bacia de São João,05604,3305604,silva jardim,20,330560420,aldeia velha
21,Maranhão,Leste Maranhense,016,Coelho Neto,00303,2100303,aldeias altas,05,210030305,aldeias altas
41,Paraná,Norte Pioneiro Paranaense,017,Ibaiti,07009,4107009,curiúva,10,410700910,alecrim
43,Rio Grande do Sul,Noroeste Rio-grandense,001,Santa Rosa,00307,4300307,alecrim,05,430030705,alecrim
29,Bahia,Centro Sul Baiano,028,Vitória da Conquista,05156,2905156,caetanos,10,290515610,alegre
29,Bahia,Centro Sul Baiano,027,Brumado,08705,2908705,condeúba,08,290870508,alegre
31,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,019,Patrocínio,19302,3119302,coromandel,10,311930210,alegre
32,Espírito Santo,Sul Espírito-santense,011,Alegre,00201,3200201,alegre,05,320020105,alegre
43,Rio Grande do Sul,Sudoeste Rio-grandense,029,Campanha Ocidental,00406,4300406,alegrete,05,430040605,alegrete
22,Piauí,Sudeste Piauiense,014,Pio IX,00277,2200277,alegrete do piauí,05,220027705,alegrete do piauí
31,Minas Gerais,Zona da Mata,061,Manhuaçu,67608,3167608,simonésia,10,316760810,alegria
43,Rio Grande do Sul,Noroeste Rio-grandense,008,Ijuí,00455,4300455,alegria,05,430045505,alegria
31,Minas Gerais,Zona da Mata,066,Cataguases,01508,3101508,além paraíba,05,310150805,além paraíba
41,Paraná,Norte Pioneiro Paranaense,018,Wenceslau Braz,26603,4126603,siqueira campos,10,412660310,alemoa
15,Pará,Baixo Amazonas,002,Santarém,00404,1500404,alenquer,05,150040405,alenquer
41,Paraná,Metropolitana de Curitiba,038,Paranaguá,18204,4118204,paranaguá,10,411820410,alexandra
24,Rio Grande do Norte,Oeste Potiguar,006,Pau dos Ferros,00505,2400505,alexandria,05,240050505,alexandria
31,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,021,Frutal,34400,3134400,iturama,10,313440010,alexandrita
52,Goiás,Leste Goiano,012,Entorno de Brasília,00308,5200308,alexânia,05,520030805,alexânia
31,Minas Gerais,Sul/Sudoeste de Minas,049,Alfenas,01607,3101607,alfenas,05,310160705,alfenas
43,Rio Grande do Sul,Noroeste Rio-grandense,011,Cruz Alta,10009,4310009,ibirubá,10,431000910,alfredo brenner
