mun,nome_mun,nome_micro,nome_meso,sigla_uf,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
2902906,Barra do Choça,Vitória da Conquista,Centro Sul Baiano,BA,0,0,19500,20250,4000,2948,0,540,1000,1500,0,2400
2903003,Barra do Mendes,Irecê,Centro Norte Baiano,BA,0,0,30,159,0,45,0,17,1540,312,0,240
2903102,Barra do Rocha,Ilhéus-Itabuna,Sul Baiano,BA,0,0,1680,0,12,0,0,0,150,0,0,0
2903201,Barreiras,Barreiras,Extremo Oeste Baiano,BA,112111,0,7500,11500,800,15600,0,11000,2400,206800,772788,150
2903235,Barro Alto,Irecê,Centro Norte Baiano,BA,0,0,36,0,0,187,0,0,80,1900,0,2610
2903276,Barrocas,Serrinha,Nordeste Baiano,BA,0,0,0,0,0,127,0,0,2,0,0,0
2903300,Barro Preto,Ilhéus-Itabuna,Sul Baiano,BA,0,0,1000,0,30,0,0,0,200,0,0,0
2903409,Belmonte,Ilhéus-Itabuna,Sul Baiano,BA,0,0,2100,0,500,13,0,0,720,20,0,0
2903508,Belo Campo,Vitória da Conquista,Centro Sul Baiano,BA,0,0,350,9,70,40,0,0,6000,90,0,0
2903607,Biritinga,Serrinha,Nordeste Baiano,BA,0,0,0,0,0,117,0,0,1563,110,0,0
2903706,Boa Nova,Vitória da Conquista,Centro Sul Baiano,BA,0,0,1500,12,1000,124,0,15,2200,63,0,40
2903805,Boa Vista do Tupim,Itaberaba,Centro Norte Baiano,BA,0,0,200,0,0,55,0,0,300,150,0,340
2903904,Bom Jesus da Lapa,Bom Jesus da Lapa,Vale São-Franciscano da Bahia,BA,800,0,201310,0,60,280,0,1650,900,1000,0,0
2903953,Bom Jesus da Serra,Vitória da Conquista,Centro Sul Baiano,BA,0,0,0,0,180,0,0,0,0,0,0,0
2904001,Boninal,Seabra,Centro Sul Baiano,BA,0,0,182,22,0,30,0,0,750,42,0,1500
2904050,Bonito,Seabra,Centro Sul Baiano,BA,0,0,1600,8400,0,300,0,0,600,500,0,200
2904100,Boquira,Boquira,Centro Sul Baiano,BA,0,0,0,0,500,85,0,0,300,288,0,0
2904209,Botuporã,Boquira,Centro Sul Baiano,BA,0,0,3,0,0,430,0,0,200,100,0,0
2904308,Brejões,Jequié,Centro Sul Baiano,BA,0,0,64,1200,0,42,0,0,110,10,0,65
2904407,Brejolândia,Cotegipe,Extremo Oeste Baiano,BA,0,0,0,0,650,8,0,0,150,35,0,0
2904506,Brotas de Macaúbas,Boquira,Centro Sul Baiano,BA,0,0,0,0,800,67,0,0,800,185,0,0
2904605,Brumado,Brumado,Centro Sul Baiano,BA,90,0,0,0,0,24,0,0,500,12,0,300
2904704,Buerarema,Ilhéus-Itabuna,Sul Baiano,BA,0,0,4215,0,0,0,0,0,180,0,0,0
2904753,Buritirama,Barra,Vale São-Franciscano da Bahia,BA,0,0,0,0,0,139,0,0,150,254,0,0
2904803,Caatiba,Vitória da Conquista,Centro Sul Baiano,BA,0,0,1050,4,150,3,0,3,150,3,0,0
2904852,Cabaceiras do Paraguaçu,Santo Antônio de Jesus,Metropolitana de Salvador,BA,0,0,6,0,0,520,500,1600,1500,600,0,0
2904902,Cachoeira,Santo Antônio de Jesus,Metropolitana de Salvador,BA,0,0,300,0,400,50,0,200,3560,160,0,0
2905008,Caculé,Guanambi,Centro Sul Baiano,BA,0,0,84,1,0,325,0,280,2000,440,0,0
2905107,Caém,Jacobina,Centro Norte Baiano,BA,0,0,1250,0,0,15,0,0,350,20,0,0
2905156,Caetanos,Vitória da Conquista,Centro Sul Baiano,BA,0,0,0,0,0,4,0,0,3,5,0,0
2905206,Caetité,Guanambi,Centro Sul Baiano,BA,0,0,120,6,5000,200,0,4,4690,140,0,0
2905305,Cafarnaum,Irecê,Centro Norte Baiano,BA,0,0,0,0,0,61,0,0,600,1440,0,20000
2905404,Cairu,Valença,Sul Baiano,BA,0,0,2,0,0,0,0,0,0,0,0,0
2905503,Caldeirão Grande,Jacobina,Centro Norte Baiano,BA,0,0,5,0,0,40,0,0,500,69,0,0
2905602,Camacan,Ilhéus-Itabuna,Sul Baiano,BA,0,0,2037,0,0,0,0,0,110,0,0,0
2905701,Camaçari,Salvador,Metropolitana de Salvador,BA,0,0,77,0,31,10,0,110,1700,20,0,0
2905800,Camamu,Valença,Sul Baiano,BA,0,0,4000,0,171,6,0,6,1125,0,0,0
2905909,Campo Alegre de Lourdes,Juazeiro,Vale São-Franciscano da Bahia,BA,0,0,0,0,0,350,0,0,800,330,0,0
2906006,Campo Formoso,Senhor do Bonfim,Centro Norte Baiano,BA,0,8,850,0,200,122,0,40,3000,183,0,25000
2906105,Canápolis,Santa Maria da Vitória,Extremo Oeste Baiano,BA,0,0,0,0,6200,140,0,0,450,90,0,0
