mun,nome_mun,sigla_uf,abacaxi,acai,algodao,alho,amendoim,arroz,aveia,azeitona,banana,batata_doce,batata,cacau,cafe,caju,cana,caqui,castanha_caju,cebola,centeio,cevada,coco,erva_mate,ervilha,fava,feijao,figo,fumo,girassol_grao,goiaba,laranja,limao,maca,mamao,mamona,mandioca,manga,maracuja,marmelo,melancia,melao,milho,noz,palmito,pera,pessego,soja,sorgo,tangerina,tomate,trigo,uva
1200013,Acrelândia,AC,300,0,0,0,0,96,0,0,20720,12,0,0,1080,0,560,0,0,0,0,0,36,0,0,0,150,0,0,0,0,810,560,0,360,0,13600,0,81,0,420,0,2600,0,6,0,0,0,0,154,0,0,0
1200054,Assis Brasil,AC,189,0,0,0,0,240,0,0,2860,0,0,0,52,0,520,0,0,0,0,0,24,0,0,0,150,0,0,0,0,60,38,0,40,0,8520,0,0,0,390,0,1105,0,0,0,0,0,0,26,0,0,0
1200104,Brasiléia,AC,180,0,0,0,0,396,0,0,2185,18,0,0,315,0,300,0,0,0,0,0,24,0,0,0,330,0,0,0,0,140,105,0,110,0,12500,0,24,0,500,0,4267,0,0,0,0,0,0,60,0,0,0
1200138,Bujari,AC,350,0,0,0,0,70,0,0,2875,28,0,0,0,0,1300,0,0,0,0,0,60,0,0,0,149,0,0,0,0,448,720,0,120,0,25400,0,38,0,1450,0,3300,0,0,0,0,0,0,104,0,0,0
1200179,Capixaba,AC,780,0,0,0,35,182,0,0,3600,24,0,0,4,0,500,0,0,0,0,0,18,0,0,0,80,0,0,0,0,225,180,0,195,0,24000,0,90,0,1200,0,6700,0,0,0,0,960,0,63,0,0,0
1200203,Cruzeiro do Sul,AC,473,0,0,0,0,313,0,0,3600,68,0,0,0,0,1120,0,0,0,0,0,180,0,0,0,261,0,0,0,0,300,93,0,169,0,66500,0,0,0,1040,0,1350,0,0,0,0,0,0,90,0,0,0
1200252,Epitaciolândia,AC,1040,0,0,0,0,1595,0,0,2875,33,0,0,51,0,300,0,0,0,0,0,56,0,0,0,121,0,0,0,0,150,78,0,110,0,14250,0,32,0,1040,0,4588,0,0,0,0,0,0,42,0,0,0
1200302,Feijó,AC,180,0,0,0,0,400,0,0,6500,0,0,0,48,0,470,0,0,0,0,0,46,0,0,0,134,0,13,0,0,210,130,0,180,0,65200,0,7,0,550,0,6300,0,0,0,0,0,0,110,0,0,0
1200328,Jordão,AC,75,0,0,0,0,57,0,0,1400,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,15,0,0,0,0,44,33,0,60,0,11600,0,0,0,210,0,760,0,0,0,0,0,0,55,0,0,0
1200336,Mâncio Lima,AC,130,0,0,0,0,165,0,0,500,0,0,0,0,0,560,0,0,0,0,0,170,0,0,0,253,0,0,0,0,56,73,0,112,0,51200,0,23,0,1440,0,720,0,0,0,0,0,0,52,0,0,0
1200344,Manoel Urbano,AC,40,0,0,0,0,96,0,0,3850,35,0,0,152,0,375,0,0,0,0,0,18,0,0,0,103,0,0,0,0,104,210,0,72,0,7000,0,15,0,360,0,1027,0,0,0,0,0,0,60,0,0,0
1200351,Marechal Thaumaturgo,AC,60,0,0,0,0,200,0,0,1430,0,0,0,0,0,650,0,0,0,0,0,12,0,0,0,258,0,90,0,0,52,42,0,48,0,48000,0,0,0,900,0,1225,0,0,0,0,0,0,26,0,0,0
1200385,Plácido de Castro,AC,162,0,0,0,27,30,0,0,5850,64,0,0,49,0,351,0,0,0,0,0,64,0,0,0,30,0,0,0,0,1760,1600,0,182,0,13900,0,137,0,390,0,3900,0,0,0,0,0,0,390,0,0,0
1200393,Porto Walter,AC,33,0,0,0,0,78,0,0,1500,30,0,0,0,0,375,0,0,0,0,0,14,0,0,0,116,0,0,0,0,42,26,0,33,0,17300,0,0,0,300,0,340,0,0,0,0,0,0,26,0,0,0
1200401,Rio Branco,AC,338,0,0,0,0,306,0,0,4800,54,0,0,6,0,980,0,0,0,0,0,98,0,0,0,168,0,0,0,0,504,403,0,182,0,28500,0,144,0,1800,0,7100,0,0,0,0,450,0,163,0,0,0
1200427,Rodrigues Alves,AC,150,0,0,0,0,364,0,0,660,12,0,0,0,0,390,0,0,0,0,0,160,0,0,0,165,0,0,0,0,52,112,0,36,0,51600,0,0,0,440,0,700,0,0,0,0,0,0,48,0,0,0
1200435,Santa Rosa do Purus,AC,80,0,0,0,54,30,0,0,1540,82,0,0,0,0,230,0,0,0,0,0,12,0,0,0,24,0,0,0,0,65,75,0,77,0,6480,0,0,0,330,0,384,0,0,0,0,0,0,24,0,0,0
1200450,Senador Guiomard,AC,300,0,0,0,90,63,0,0,2860,59,0,0,48,0,390,0,0,0,0,0,162,0,0,0,60,0,0,0,0,390,330,0,234,0,22000,0,344,0,2250,0,13000,0,32,0,0,0,0,325,0,0,0
1200500,Sena Madureira,AC,156,0,0,0,0,360,0,0,2200,52,0,0,30,0,390,0,0,0,0,0,90,0,0,0,474,0,33,0,0,725,420,0,216,0,56000,0,32,0,500,0,3900,0,0,0,0,0,0,180,0,0,0
1200609,Tarauacá,AC,350,0,0,0,0,504,0,0,9375,0,0,0,0,0,980,0,0,0,0,0,30,0,0,0,100,0,2,0,0,195,91,0,160,0,80000,0,8,0,770,0,5565,0,0,0,0,0,0,144,0,0,0
1200708,Xapuri,AC,143,0,0,0,0,500,0,0,2000,0,0,0,117,0,750,0,0,0,0,0,12,0,0,0,200,0,0,0,0,120,29,0,100,0,18750,0,16,0,715,0,3000,0,0,0,0,0,0,25,0,0,0
1200807,Porto Acre,AC,870,0,0,0,5,156,0,0,7500,59,0,0,17,0,420,0,0,0,0,0,60,0,0,0,60,0,0,0,0,545,248,0,421,0,25400,0,77,0,1400,0,8800,0,0,0,0,0,0,130,0,0,0
1300029,Alvarães,AM,120,1192,0,0,0,0,0,0,320,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,51260,0,0,0,192,0,5,0,0,0,0,0,0,0,0,0,0
1300060,Amaturá,AM,540,100,0,0,0,0,0,0,544,90,0,0,0,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,13,26,6,0,180,0,1500,0,24,0,243,0,0,0,0,0,0,0,0,5,0,0,0
1300086,Anamã,AM,0,320,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,1800,0,180,0,0,0,90,0,0,0,0,0,0,0,0,0,0
1300102,Anori,AM,0,480,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,30,0,8,0,90,0,1000,0,15,0,450,0,100,0,0,0,0,0,0,0,0,0,0
1300144,Apuí,AM,120,0,0,0,0,140,0,0,588,60,0,22,266,0,0,0,0,0,0,0,90,0,0,0,4,0,0,0,0,150,28,0,0,0,4950,0,82,0,1500,0,1200,0,0,0,0,0,0,0,0,0,0
1300201,Atalaia do Norte,AM,60,32,0,0,0,3,0,0,2254,0,0,0,0,0,30,0,0,0,0,0,12,0,0,0,15,0,0,0,4,0,30,0,30,0,2500,0,30,0,75,0,30,0,0,0,0,0,0,0,0,0,0
1300300,Autazes,AM,350,0,0,0,0,0,0,0,2650,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,300,0,60000,0,598,0,720,0,145,0,0,0,0,0,0,0,0,0,0
1300409,Barcelos,AM,30,60,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,800,0,20,0,32,0,0,0,0,0,0,0,0,0,0,0,0
1300508,Barreirinha,AM,160,0,0,0,0,4,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,20,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300607,Benjamin Constant,AM,64,280,0,0,0,22,0,0,2250,16,0,0,0,0,120,0,0,0,0,0,15,0,0,0,12,0,0,0,0,60,30,0,84,0,2520,0,105,0,375,0,21,0,0,0,0,0,0,9,0,0,0
1300631,Beruri,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300680,Boa Vista do Ramos,AM,108,0,0,0,0,4,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,72,0,0,0,60,0,100,0,20,0,0,0,0,0,0,0,0,0,0
1300706,Boca do Acre,AM,290,0,0,0,0,250,0,0,2200,0,0,138,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,1950,0,0,0,950,0,1160,0,0,0,0,0,0,0,0,0,0
1300805,Borba,AM,98,0,0,0,0,0,0,0,1000,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,24,0,0,0,8880,0,0,0,700,0,36,0,0,0,0,0,0,0,0,0,0
1300839,Caapiranga,AM,384,500,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300904,Canutama,AM,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1300,0,0,0,350,0,45,0,0,0,0,0,0,0,0,0,0
1301001,Carauari,AM,120,0,0,0,0,0,0,0,256,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,8,0,15,0,7200,0,36,0,240,0,90,0,0,0,0,0,0,0,0,0,0
1301100,Careiro,AM,989,0,0,0,0,0,0,0,2912,572,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,110,50,0,420,0,6600,0,342,0,3700,0,42,0,0,0,0,0,0,0,96,0,0
1301159,Careiro da Várzea,AM,5775,0,0,0,0,0,0,0,540,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,100,0,322,0,1400,0,616,0,1248,0,0,0,0,0,0,0,0,0,0,0,0
1301209,Coari,AM,450,480,0,0,0,0,0,0,975,0,0,115,0,0,210,0,0,0,0,0,0,0,0,0,18,0,0,0,56,40,20,0,120,0,9420,0,90,0,930,0,156,0,0,0,0,0,0,0,48,0,0
1301308,Codajás,AM,350,50000,0,0,0,0,0,0,500,0,0,13,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,50,0,300,0,5200,0,240,0,2200,0,0,0,0,0,0,0,0,0,0,0,0
1301407,Eirunepé,AM,450,48,0,0,0,24,0,0,8650,164,0,0,0,0,14378,0,0,0,0,0,8,0,0,0,476,0,0,0,0,60,16,0,125,0,15760,0,120,0,2520,14,1447,0,0,0,0,0,0,4,32,0,0
1301506,Envira,AM,0,120,0,0,0,400,0,0,800,0,0,0,0,0,750,0,0,0,0,0,36,0,0,0,60,0,0,0,0,60,21,0,45,0,13800,0,60,0,400,0,500,0,0,0,0,0,0,0,0,0,0
1301605,Fonte Boa,AM,112,120,0,0,0,0,0,0,360,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1620,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0
1301654,Guajará,AM,0,0,0,0,0,20,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6000,0,0,0,270,0,48,0,0,0,0,0,0,0,0,0,0
1301704,Humaitá,AM,980,2400,0,0,0,32,0,0,2500,0,0,15,21,0,750,0,0,0,0,0,21,0,0,0,45,0,0,0,0,90,62,0,125,0,40000,0,55,0,1500,0,550,0,0,0,0,0,0,0,0,0,0
1301803,Ipixuna,AM,0,0,0,0,0,72,0,0,115,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,65,0,592,0,0,0,63,0,153,0,0,0,0,0,0,0,0,0,0
1301852,Iranduba,AM,97,0,0,0,0,0,0,0,3750,230,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,0,4120,1040,0,4262,0,7380,0,3052,0,13930,0,364,0,0,0,0,0,0,32,0,0,0
1301902,Itacoatiara,AM,51213,400,0,0,0,0,0,0,1600,0,0,15,3,0,0,0,0,0,0,0,680,0,0,0,280,0,0,0,220,2000,162,0,564,0,18000,0,2700,0,2600,0,405,0,0,0,0,0,0,60,0,0,0
1301951,Itamarati,AM,20,0,0,0,0,0,0,0,276,120,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0
1302009,Itapiranga,AM,25,0,0,0,0,0,0,0,450,0,0,11,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,60,3,0,25,0,3840,0,60,0,240,0,0,0,0,0,0,0,0,0,0,0,0
1302108,Japurá,AM,80,128,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,30,17,0,0,0,3630,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0
1302207,Juruá,AM,21,0,0,0,0,0,0,0,122,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,260,0,22,0,0,0,0,0,0,0,0,0,0
1302306,Jutaí,AM,182,128,0,0,0,122,0,0,1250,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,133,0,10650,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0
1302405,Lábrea,AM,95,336,0,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2000,0,0,0,2085,0,42,0,0,0,0,0,0,0,0,0,0
