mun,municipio,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
4309803,Ibiaçá,0,0,0,0,150,77,0,150,200,18480,66300,225
4309902,Ibiraiaras,0,0,0,0,0,252,160,270,60,27840,36480,0
4309951,Ibirapuitã,0,0,0,0,150,42,0,84,450,1564,48600,0
4310009,Ibirubá,0,60,0,0,480,2345,0,400,1000,16500,159240,0
4310108,Igrejinha,0,0,77,0,700,29,0,72,750,600,27,22
4310207,Ijuí,0,0,0,0,4900,200,0,1800,12500,9840,132000,350
4310306,Ilópolis,0,3,0,0,60,83,660,900,150,6270,240,60
4310330,Imbé,0,0,0,0,0,0,0,0,16,0,0,0
4310363,Imigrante,0,0,0,0,2000,30,0,1040,480,960,180,90
4310405,Independência,0,32,60,0,1600,63,9,270,1280,31600,64800,30
4310413,Inhacorá,0,0,0,0,150,348,0,32,270,10860,20589,0
4310439,Ipê,0,0,0,0,100,144,43,81,600,22000,27200,1760
4310462,Ipiranga do Sul,0,0,0,0,0,2,0,16,32,3072,38380,20
4310504,Iraí,0,4,167,0,1000,1077,750,1980,5000,12600,10800,42
4310538,Itaara,0,0,0,0,210,226,12,67,360,2844,12600,0
4310553,Itacurubi,0,6075,0,0,2000,0,0,210,1000,1330,23100,0
4310579,Itapuca,0,0,10,0,320,58,594,270,165,4680,15840,30
4310603,Itaqui,0,612150,0,0,0,0,0,207,360,42000,62400,0
4310652,Itati,0,0,1400,0,5000,25,0,330,1200,60,0,800
4310702,Itatiba do Sul,0,0,60,0,12500,32,458,13720,1020,9600,2380,30
4310751,Ivorá,0,383,0,0,1000,238,480,1120,2000,3360,12600,105
4310801,Ivoti,0,0,10,0,4500,11,0,300,525,454,0,115
4310850,Jaboticaba,0,0,0,0,1350,594,100,375,1600,7200,19840,12
4310876,Jacuizinho,0,0,0,0,294,60,544,375,1200,6270,59840,0
4310900,Jacutinga,0,0,0,0,1250,26,0,255,800,11520,49920,25
4311007,Jaguarão,0,165794,0,0,0,9,0,15,0,168,67500,0
4311106,Jaguari,0,19210,0,0,22500,147,3240,1040,3240,9960,24480,0
4311122,Jaquirana,0,0,0,0,0,128,0,24,0,5160,600,0
4311130,Jari,0,0,0,0,1000,452,825,500,2100,11196,140520,100
4311155,Jóia,0,0,0,0,2000,405,8,525,3200,22800,269100,0
4311205,Júlio de Castilhos,0,0,0,0,280,54,23,480,2000,11160,332400,40
4311239,Lagoa Bonita do Sul,0,0,0,0,480,142,4410,196,1800,4950,4788,50
4311254,Lagoão,0,0,0,0,100,404,4224,350,2520,10800,20250,80
4311270,Lagoa dos Três Cantos,0,0,0,0,120,197,0,65,900,6440,38840,24
4311304,Lagoa Vermelha,0,0,0,0,0,945,3,425,240,40500,165600,25
4311403,Lajeado,0,0,18,0,3850,18,0,150,1500,2640,1860,30
4311429,Lajeado do Bugre,0,0,0,0,600,1200,0,64,2400,12600,9600,0
4311502,Lavras do Sul,0,27000,0,0,0,0,0,24,0,914,51516,0
4311601,Liberato Salzano,0,0,0,0,1400,810,1600,18375,2700,7200,18900,60
4311627,Lindolfo Collor,0,0,0,0,1750,15,0,1800,1170,510,0,70
4311643,Linha Nova,0,6,20,0,1200,27,0,225,910,450,0,328
4311700,Machadinho,0,5,0,0,1760,256,0,100,120,5070,46728,0
4311718,Maçambará,0,126400,0,0,0,0,0,21,300,15510,67900,0
4311734,Mampituba,0,6795,18450,0,2520,112,198,45,5070,648,0,910
4311759,Manoel Viana,0,18815,0,0,0,0,0,88,2400,14745,112000,0
4311775,Maquiné,0,2470,4800,0,1400,288,0,450,3000,6500,0,750
4311791,Maratá,0,0,32,0,640,11,0,2736,700,324,0,0
4311809,Marau,0,0,0,0,400,45,5,200,1600,9360,139830,150
4311908,Marcelino Ramos,0,0,0,0,10960,83,32,4690,1080,9900,9075,30
4311981,Mariana Pimentel,0,5868,12,0,340,90,2250,288,3600,972,0,20
4312005,Mariano Moro,0,0,0,0,750,10,27,5500,105,6336,4968,0
4312054,Marques de Souza,0,0,70,0,2750,91,263,140,1800,2700,1050,36
4312104,Mata,0,9100,0,0,1050,140,1710,150,2500,5600,9000,0
4312138,Mato Castelhano,0,20,0,0,0,54,8,60,425,2300,45150,60
4312153,Mato Leitão,0,0,12,0,480,14,440,340,5400,13500,1500,0
4312179,Mato Queimado,0,0,10,0,70,12,0,40,450,10485,22061,18
4312203,Maximiliano de Almeida,0,0,0,0,2450,77,0,4800,40,2400,30400,20
4312252,Minas do Leão,0,14400,0,0,0,0,0,0,120,870,20900,0
4312302,Miraguaí,0,0,0,0,1000,114,38,600,1080,4230,17280,0
4312351,Montauri,0,0,0,0,245,12,20,100,200,6240,10440,20
4312377,Monte Alegre dos Campos,0,0,0,0,0,344,0,300,60,3500,9245,12
4312385,Monte Belo do Sul,0,0,18,0,200,18,0,225,225,720,0,200
4312401,Montenegro,0,3398,0,0,3900,40,0,7500,7500,460,0,54
4312427,Mormaço,0,0,0,0,100,60,0,108,54,900,34077,0
4312443,Morrinhos do Sul,0,9465,30000,0,1650,13,0,44,1920,216,0,630
4312450,Morro Redondo,0,0,0,0,0,36,69,56,0,2400,2700,240
4312476,Morro Reuter,0,4,80,0,1800,70,0,400,1500,1800,0,58
4312500,Mostardas,0,244484,0,0,0,280,0,0,1800,600,19050,8
4312609,Muçum,0,0,0,0,9600,10,18,1280,1080,6000,1890,70
4312617,Muitos Capões,0,0,0,0,0,4800,0,0,150,108000,175500,300
